Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
48,CALUMET HEIGHTS,More,1ST TRIMESTER,138,75.4,9123,1.140545873,145,81.5,9196,1.285069595,145,81,8919,1.316851665,131,78.9,8663,1.193108623,117,71.8,8197,1.024838355,119,72.6,8185,1.055516188,134,77.9,8503,1.227637304,120,74.5,8315,1.075165364,126,81.8,7848,1.313302752,105,75,7352,1.071137106
49,ROSELAND,Most,1ST TRIMESTER,613,72.8,5954,7.495196507,574,73.8,5858,7.231341755,573,73.6,5525,7.633085973,499,68.1,5236,6.490049656,557,72.1,5118,7.846756546,493,73.1,5002,7.204778089,571,75.3,5219,8.238417321,508,73.5,5307,7.035613341,499,74.4,5085,7.30100295,447,69,4748,6.495998315
50,PULLMAN,More,1ST TRIMESTER,118,75.6,9123,0.977836238,109,80.1,9196,0.949423662,102,74.5,8919,0.852001345,92,72.4,8663,0.768879141,105,81.4,8197,1.042698548,91,79.8,8185,0.887208308,112,77.2,8503,1.016864636,79,71.8,8315,0.682164762,87,76.3,7848,0.845833333,87,81.3,7352,0.962064744
52,EAST SIDE,Moderately,1ST TRIMESTER,343,80.7,8661,3.19594735,378,85.3,9088,3.547909331,340,81,9004,3.058640604,384,84,9035,3.570116215,388,84.3,8400,3.893857143,358,84.8,8699,3.489872399,391,85,9112,3.64738806,364,79.1,8929,3.224594019,337,83.8,8684,3.252026716,299,73.3,8461,2.590320293
53,WEST PULLMAN,Most,1ST TRIMESTER,460,71.5,5954,5.524017467,423,69.7,5858,5.032963469,421,70.8,5525,5.394895928,451,75.5,5236,6.503151261,388,69.8,5118,5.291598281,457,74.7,5002,6.82485006,435,77.7,5219,6.476240659,419,73.1,5307,5.771415112,414,74.5,5085,6.065486726,331,71.3,4748,4.970577085
54,RIVERDALE,Most,1ST TRIMESTER,121,68,5954,1.381928116,123,75,5858,1.574769546,84,64.6,5525,0.982153846,81,65.9,5236,1.019461421,96,72.7,5118,1.363657679,74,71.2,5002,1.053338665,72,78.3,5219,1.080206936,61,72.6,5307,0.834482759,76,79.2,5085,1.183716814,63,74.1,4748,0.983213985
55,HEGEWISCH,Least,1ST TRIMESTER,117,83.6,6065,1.612728772,94,76.4,6057,1.185669473,104,90.4,6317,1.488301409,117,89.3,6299,1.658691856,109,87.2,6246,1.521741915,107,82.9,6197,1.431386155,89,82.4,6211,1.180743842,66,60.6,5974,0.669501172,68,58.6,5806,0.686324492,87,66.9,6210,0.937246377
56,GARFIELD RIDGE,Least,1ST TRIMESTER,368,80.7,6065,4.896553998,405,84.6,6057,5.656760773,405,84.2,6317,5.398290328,413,81.9,6299,5.369852358,435,84.8,6246,5.90585975,409,83.6,6197,5.517573019,408,81.3,6211,5.340589277,403,83.6,5974,5.639571476,421,82.2,5806,5.960420255,379,81.7,6210,4.986199678
57,ARCHER HEIGHTS,Less,1ST TRIMESTER,169,80.5,6617,2.055992141,198,79.8,6846,2.30797546,216,83.4,6851,2.629455554,227,86.6,6795,2.893038999,199,78.3,6411,2.430463266,249,83.6,6729,3.093535444,217,84.8,6983,2.635199771,205,78.8,6965,2.31931084,235,81.3,6864,2.783435315,179,74.3,6925,1.920534296
58,BRIGHTON PARK,Moderately,1ST TRIMESTER,890,78.6,8661,8.076896432,894,78.1,9088,7.6828125,917,79.3,9004,8.076199467,941,81.7,9035,8.509097952,930,82.5,8400,9.133928571,845,81.5,8699,7.916714565,872,84.8,9112,8.115188762,873,82.5,8929,8.066132826,856,82.8,8684,8.16176877,771,82.7,8461,7.535953197
59,MCKINLEY PARK,Moderately,1ST TRIMESTER,227,76.9,8661,2.015506293,221,75.7,9088,1.840856074,254,83.3,9004,2.349866726,219,76,9035,1.842169341,233,79.3,8400,2.199630952,200,82.3,8699,1.892171514,248,84.6,9112,2.302546093,253,86.6,8929,2.453779819,223,80.8,8684,2.074896361,211,80.5,8461,2.007505023
60,BRIDGEPORT,Less,1ST TRIMESTER,384,77.1,6617,4.474293486,380,80.5,6846,4.468302658,366,80.1,6851,4.279170924,358,83.6,6795,4.404532745,389,85.1,6411,5.163609421,353,81.1,6729,4.254465745,338,79.9,6983,3.867420879,354,79.2,6965,4.025384063,354,77.8,6864,4.012412587,302,80.3,6925,3.501891697
